City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bredasdorp,ZA,61.29,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
2,Hithadhoo,MV,81.61,broken clouds,-0.6,73.0833,Scoop Guest House
3,Cidreira,BR,71.33,broken clouds,-30.1811,-50.2056,Hotel Castelo
5,Adrar,MR,67.05,overcast clouds,20.5022,-10.0711,
6,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
8,Puerto Ayora,EC,69.3,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Isangel,VU,84.31,overcast clouds,-19.55,169.2667,Tanna Lodge
11,Kambove,CD,60.87,light rain,-10.8764,26.5969,Couvant des soeurs catholiques
13,Saint-Philippe,RE,78.22,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Lethem,GY,77.92,overcast clouds,3.3803,-59.7968,Savannah Inn
16,Benguela,AO,74.26,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
17,La Libertad,EC,72.32,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
21,Vaini,TO,82.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
22,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Atuona,PF,79.05,light rain,-9.8,-139.0333,Villa Enata
24,Butaritari,KI,82.22,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Pangoa,PE,69.75,overcast clouds,-12.1167,-73.0,
29,Lagoa,PT,65.23,overcast clouds,39.05,-27.9833,Casa Das Faias
30,New Norfolk,AU,77.67,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
32,Luba,GQ,81.3,moderate rain,3.4568,8.5547,
33,Cape Town,ZA,63.88,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
34,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
35,East London,ZA,68.18,overcast clouds,-33.0153,27.9116,Tu Casa
36,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
37,Letlhakane,BW,70.3,few clouds,-21.4167,25.5833,Motswedi Hotel P650
38,Mataura,NZ,61.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
