City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Denis,FR,2021-12-19 19:17:55,48.9167,2.3333,42.08,96,90,3.0
1,Hermanus,ZA,2021-12-19 19:17:56,-34.4187,19.2345,75.9,72,100,11.3
2,Puerto Ayora,EC,2021-12-19 19:14:43,-0.7393,-90.3518,78.76,85,100,8.55
3,Homer,US,2021-12-19 19:17:56,59.6425,-151.5483,28.27,93,90,0.0
4,Albany,US,2021-12-19 19:14:28,42.6001,-73.9662,30.63,74,64,3.0
5,Rikitea,PF,2021-12-19 19:17:57,-23.1203,-134.9692,74.7,82,100,18.07
6,Mataura,NZ,2021-12-19 19:17:57,-46.1927,168.8643,68.49,45,100,10.45
7,Salto,UY,2021-12-19 19:12:59,-31.3833,-57.9667,93.36,43,20,6.91
8,Waipawa,NZ,2021-12-19 19:17:58,-41.4122,175.5153,61.45,66,0,17.96
9,Oktyabrskoye,RU,2021-12-19 19:17:58,43.0645,44.7417,30.34,92,100,6.71
10,Bato,PH,2021-12-19 19:17:58,13.3528,123.3677,74.82,93,93,2.71
11,Bluff,NZ,2021-12-19 19:17:59,-46.6,168.3333,68.81,54,100,29.57
12,Epinal,FR,2021-12-19 19:17:59,48.1833,6.45,37.54,95,8,4.23
13,Katsuura,JP,2021-12-19 19:17:59,35.1333,140.3,39.31,53,0,8.88
14,Mareeba,AU,2021-12-19 19:18:00,-17.0,145.4333,69.44,93,70,1.43
15,Loubomo,CG,2021-12-19 19:18:00,-4.1997,12.6739,75.79,88,100,3.65
16,Thompson,CA,2021-12-19 19:18:01,55.7435,-97.8558,-3.84,77,90,6.91
17,Chuy,UY,2021-12-19 19:18:01,-33.6971,-53.4616,78.01,56,19,15.39
18,Qaanaaq,GL,2021-12-19 19:18:01,77.484,-69.3632,15.17,65,49,7.94
19,Seoul,KR,2021-12-19 19:13:12,37.5683,126.9778,42.24,77,39,2.37
20,Ushuaia,AR,2021-12-19 19:18:02,-54.8,-68.3,46.06,71,75,21.85
21,Mehran,IR,2021-12-19 19:18:02,33.1222,46.1646,54.88,59,4,4.36
22,Pisco,PE,2021-12-19 19:18:03,-13.7,-76.2167,71.02,77,75,11.5
23,Jaciara,BR,2021-12-19 19:18:03,-15.9653,-54.9683,84.54,75,100,3.38
24,Walvis Bay,NA,2021-12-19 19:18:03,-22.9575,14.5053,65.35,72,5,5.75
25,Yellowknife,CA,2021-12-19 19:18:04,62.456,-114.3525,-14.58,82,20,6.91
26,Punta Arenas,CL,2021-12-19 19:18:04,-53.15,-70.9167,51.91,54,40,40.29
27,Labuan,MY,2021-12-19 19:18:04,5.2767,115.2417,79.16,94,20,0.0
28,Longyearbyen,SJ,2021-12-19 19:18:05,78.2186,15.6401,28.24,86,75,16.11
29,Bengkulu,ID,2021-12-19 19:18:05,-3.8004,102.2655,75.0,93,100,3.51
30,Codrington,AU,2021-12-19 19:18:05,-38.2667,141.9667,48.04,82,34,11.43
31,Mnogovershinnyy,RU,2021-12-19 19:18:05,53.9353,139.9242,-18.02,88,11,5.37
32,Acapulco,MX,2021-12-19 19:18:06,16.8634,-99.8901,85.82,66,75,6.91
33,Atar,MR,2021-12-19 19:18:06,20.5169,-13.0499,73.08,46,100,13.06
34,Kaitangata,NZ,2021-12-19 19:18:07,-46.2817,169.8464,60.22,69,100,4.7
35,Alofi,NU,2021-12-19 19:18:07,-19.0595,-169.9187,80.49,78,7,13.8
36,Timbiqui,CO,2021-12-19 19:18:07,2.7717,-77.6654,78.62,91,100,7.43
37,Hobart,AU,2021-12-19 19:18:08,-42.8794,147.3294,55.26,58,40,20.71
38,Half Moon Bay,US,2021-12-19 19:18:08,37.4636,-122.4286,52.86,84,90,3.0
39,Mount Isa,AU,2021-12-19 19:18:08,-20.7333,139.5,71.37,83,40,4.61
40,Busselton,AU,2021-12-19 19:18:09,-33.65,115.3333,53.1,89,32,7.81
41,Nanortalik,GL,2021-12-19 19:18:09,60.1432,-45.2371,39.94,66,100,30.98
42,Bowen,AU,2021-12-19 19:18:09,-20.0167,148.2333,78.67,70,7,10.56
43,Hofn,IS,2021-12-19 19:18:10,64.2539,-15.2082,41.05,81,100,5.73
44,Jamestown,US,2021-12-19 19:17:20,42.097,-79.2353,31.32,78,90,5.01
45,Nikolskoye,RU,2021-12-19 19:18:10,59.7035,30.7861,23.4,92,100,12.26
46,Port Elizabeth,ZA,2021-12-19 19:16:16,-33.918,25.5701,69.1,88,0,13.8
47,Nouakchott,MR,2021-12-19 19:18:11,18.0858,-15.9785,73.33,40,100,9.71
48,Kapaa,US,2021-12-19 19:18:11,22.0752,-159.319,76.12,76,75,8.99
49,Kodiak,US,2021-12-19 19:18:12,57.79,-152.4072,27.91,80,1,6.91
50,Lakes Entrance,AU,2021-12-19 19:18:12,-37.8811,147.981,49.57,77,100,8.99
51,Bredasdorp,ZA,2021-12-19 19:18:12,-34.5322,20.0403,67.28,88,28,11.5
52,Port Keats,AU,2021-12-19 19:15:56,-14.25,129.55,83.66,81,100,8.93
53,Shakawe,BW,2021-12-19 19:18:13,-18.3667,21.85,73.38,68,86,4.76
54,Plettenberg Bay,ZA,2021-12-19 19:18:13,-34.0527,23.3716,64.9,91,33,6.85
55,Airai,TL,2021-12-19 19:18:14,-8.9266,125.4092,62.2,94,100,0.85
56,New Norfolk,AU,2021-12-19 19:18:14,-42.7826,147.0587,54.91,59,94,5.99
57,Perth,AU,2021-12-19 19:15:20,-31.9333,115.8333,60.67,90,0,4.61
58,Khatanga,RU,2021-12-19 19:18:14,71.9667,102.5,-13.56,98,100,11.14
59,Ayan,RU,2021-12-19 19:18:15,56.45,138.1667,-7.8,74,50,10.09
60,Dudinka,RU,2021-12-19 19:18:15,69.4058,86.1778,-45.15,100,66,1.48
61,Kibaya,TZ,2021-12-19 19:18:16,-5.3,36.5667,64.99,81,100,5.19
62,Gat,IL,2021-12-19 19:18:16,31.61,34.7642,58.41,40,87,10.25
63,Inirida,CO,2021-12-19 19:18:16,3.8653,-67.9239,84.56,81,100,1.66
64,Namibe,AO,2021-12-19 19:18:17,-15.1961,12.1522,70.57,70,97,10.33
65,Namatanai,PG,2021-12-19 19:18:17,-3.6667,152.4333,78.76,83,71,0.81
66,Puerto Madryn,AR,2021-12-19 19:18:17,-42.7692,-65.0385,84.49,23,0,17.09
67,Dali,CN,2021-12-19 19:18:18,25.7,100.1833,42.94,83,0,3.98
68,Lebu,CL,2021-12-19 19:18:18,-37.6167,-73.65,62.69,77,13,16.13
69,Luderitz,NA,2021-12-19 19:18:18,-26.6481,15.1594,60.55,92,4,2.3
70,Castro,BR,2021-12-19 19:18:01,-24.7911,-50.0119,79.12,38,0,3.53
71,Ponta Do Sol,PT,2021-12-19 19:18:19,32.6667,-17.1,67.01,89,97,15.57
72,Lewistown,US,2021-12-19 19:18:19,40.5992,-77.5714,41.07,75,1,12.66
73,Bonavista,CA,2021-12-19 19:18:19,48.6499,-53.1147,25.12,68,100,23.42
