City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,61.29,70,44,12.17,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,42.46,81,40,11.5,scattered clouds
2,Hithadhoo,MV,-0.6,73.0833,81.61,74,67,10.56,broken clouds
3,Cidreira,BR,-30.1811,-50.2056,71.33,83,60,7.07,broken clouds
4,Longyearbyen,SJ,78.2186,15.6401,8.44,72,0,11.5,clear sky
5,Adrar,MR,20.5022,-10.0711,67.05,21,100,8.77,overcast clouds
6,Cabedelo,BR,-6.9811,-34.8339,79.47,77,75,9.8,broken clouds
7,Albany,US,42.6001,-73.9662,33.57,81,100,3.0,light snow
8,Puerto Ayora,EC,-0.7393,-90.3518,69.3,83,97,8.9,overcast clouds
9,Isangel,VU,-19.55,169.2667,84.31,72,100,3.89,overcast clouds
10,Quzhou,CN,28.9594,118.8686,35.38,76,100,0.43,overcast clouds
11,Kambove,CD,-10.8764,26.5969,60.87,92,23,3.24,light rain
12,Norman Wells,CA,65.282,-126.8329,3.24,66,90,26.46,light snow
13,Saint-Philippe,RE,-21.3585,55.7679,78.22,81,65,8.52,broken clouds
14,Lethem,GY,3.3803,-59.7968,77.92,79,87,8.19,overcast clouds
15,Yellowknife,CA,62.456,-114.3525,-29.58,90,100,6.64,overcast clouds
16,Benguela,AO,-12.5763,13.4055,74.26,79,100,1.66,overcast clouds
17,La Libertad,EC,-2.2333,-80.9,72.32,81,100,9.19,overcast clouds
18,Khani,GE,41.9563,42.9566,26.17,80,64,8.57,broken clouds
19,San Joaquin,US,37.9333,-121.3011,46.36,76,1,9.22,clear sky
20,Henties Bay,NA,-22.116,14.2845,60.85,90,29,5.19,scattered clouds
21,Vaini,TO,-21.2,-175.2,82.56,89,75,5.75,light intensity shower rain
22,Kapaa,US,22.0752,-159.319,80.58,75,75,1.99,light rain
23,Atuona,PF,-9.8,-139.0333,79.05,77,66,19.42,light rain
24,Butaritari,KI,3.0707,172.7902,82.22,76,96,10.71,light rain
